#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
ISNT_WICKED;Is not wicked;N'est pas une méchante personne;;;;;;;;;;;;x
PROVINCE_EXTEND_DESC;§YOpen the Extended Province View§!;§YOuvrir la vue étendue de la province§!;;;;;;;;;;;;x
PROVINCE_EXTEND_DESC_LONG;Extend the interface to show additional Holdings and the local terrain.;Étendre l'interface pour afficher les propriétés supplémentaires et le type de terrain de cette province;;;;;;;;;;;;x
heir_text_default;An enigma even to those who know [GetHerHim], [GetHerHis] rule may doom or save us all;, puisque peu de choses sont connues à son sujet, son règne pourrait tout aussi bien être salvateur ou tous nous perdre;;;;;;;;;;;;x
heir_text_underage;Merely [GetAgeYears] years old, the realm is left in the capable hands of the regent and council;, âgé[GetNoneE] d'à peine [GetAgeYears], lui succède. Les affaires du domaine sont soumis à un conseil de régence.;;;;;;;;;;;;x
heir_text_useless;Having no skills with which to keep the realm together, [GetHerHis] rule may be doomed to fail; lui succède. Hélas, sans réels talents pour gouverner ce domaine, son règne se destine à l'échec;;;;;;;;;;;;x
heir_text_strong_and_smart;Possessing a mighty physique and an exceptionally astute mind, [GetFirstName]'s rule is sure to spawn both song and tale; lui succède. Connu autant pour sa force que pour sa sagacité, il est certain que le règne de [GetFirstName] sera l'objet de nombreux chants et récits futurs;;;;;;;;;;;;x
heir_text_military;Being a talented military tactician, we expect [GetHerHim] to lead us to many victories on the field of battle; lui succède. Étant un fin tacticien militaire, nous nous attendons à ce qu'[GetSheHe] nous mène à de nombreuses victoires sur le champ de bataille;;;;;;;;;;;;x
heir_text_traits_glutton_greedy;A rotund and selfish [GetManWoman], we are hoping [GetSheHe] will not eat the realm out of house and home; lui succède. Un[GetNoneE] [GetManWoman] enrobé[GetNoneE] et égoïste, nous espérons qu'[GetSheHe] n'engloutira pas le pays;;;;;;;;;;;;x
heir_text_traits_poet;A prolific writer of prose, [GetFirstName] will likely be able to charm anyone with [GetHerHis] words; lui succède. Prosateur prolifique, [GetSheHe] sera capable de charmer quiconque avec ses mots;;;;;;;;;;;;x
heir_text_traits_cynical_just;Not fearing [Religion.GetHighGodName], [GetSheHe] never lets religion get in the way of justice; lui succède. Ne craignant pas [Religion.GetHighGodName], [GetSheHe] ne laisse jamais la religion faire obstacle à la justice;;;;;;;;;;;;x
heir_text_traits_craven_military_ed;Preferring to lead troops from the safety of [GetHerHis] home, [GetFirstName] will have a hard time inspiring the troops; lui succède. Préférant diriger les troupes depuis la sécurité de sa demeure, [GetSheHe] aura du mal à les motiver;;;;;;;;;;;;x
heir_text_traits_zealous_paranoid;Seeing the agents of [Religion.GetRandomEvilGodName] around every corner, heretics and heathens alike should beware [GetHerHis] rule; lui succède. Voyant des agents envoyés par [Religion.GetRandomEvilGodName] partout, les hérétiques et les infidèles devraient [GetHerHim] craindre;;;;;;;;;;;;x
heir_text_traits_decadent;Decadent and indulgent, [GetSheHe] brings shame upon the [GetOnlyDynastyName] dynasty - an ill spell for the future of the realm; lui succède. Décadent[GetNoneE] et indulgent[GetNoneE], [GetSheHe] fait honte à la dynastie [GetOnlyDynastyName] - un mauvais présage pour le pays;;;;;;;;;;;;x
heir_text_traits_proud_brave;Always clad in glistening and splendid armor, [GetFirstName] wants everyone to see [GetHerHim] as [GetSheHe] charges into battle; lui succède. Portant toujours une armure scintillante et splendide, [GetSheHe] veut que tout le monde [GetHerHim] voit en train de charger l'ennemi;;;;;;;;;;;;x
heir_text_traits_cynical_cruel;Never fearing the wrath of [Religion.GetHighGodName], [GetFirstName] is unlikely to spare any subject the punishments [GetSheHe] sees fit; lui succède. Ne craignant pas la colère divine, [GetSheHe] n'épargnera probablement ses châtiments à aucun sujet;;;;;;;;;;;;x
heir_text_traits_humble_stubborn;Adamant in [GetHerHis] ways of worship, faith and tradition is likely to be favored under [GetHerHis] rule; lui succède. Inflexible dans ses croyances, [GetSheHe] favorisera sans doute la foi et la tradition lors de son règne;;;;;;;;;;;;x
heir_text_traits_paranoid_stressed;Plagued by seeing shadows around every corner, [GetSheHe] is likely to be ruled by fear; lui succède. Tourmenté[GetNoneE] par des gens qui [GetHerHim] suivraient, [GetSheHe] est enclin[GetNoneE] à être dominé[GetNoneE] par la peur;;;;;;;;;;;;x
heir_text_piety;A godly [GetManWoman], [GetFirstName] is sure to impress the [Religion.GetPriestTitle]s with [GetHerHis] extensive knowlege of the [Religion.GetScriptureName]; lui succède. Un[GetNoneE] [GetManWoman] dévot[GetNoneE], [GetSheHe] impressionnera les [Religion.GetPriestTitle]s avec ses connaissances des textes dans [Religion.GetScriptureName];;;;;;;;;;;;x
heir_text_prestige;A renowned [GetManWoman], dignitaries from far and wide will surely bow before [GetHerHim];, un[GetNoneE] [GetManWoman] célèbre, lui succède. Des dignitaires venus de loin se courberont devant [GetHerselfHimself];;;;;;;;;;;;x
heir_text_friends;Blessed with an abundance of friends, [GetFirstName] is likely to find strong support for [GetHerHis] rule; lui succède. Ayant une abondance d'amis, [GetSheHe] trouvera probablement du soutien pour son règne;;;;;;;;;;;;x
heir_text_rich;In possession of fabulous riches, only time will tell if [GetSheHe] will make the realm thrive or roost on the gold like a dragon; lui succède. Richissime, nous verrons si [GetSheHe] fera prospérer le pays ou si [GetSheHe] trônera sur l'or tel un dragon;;;;;;;;;;;;x
heir_text_combat_skill;A formidable duelist, we expect [GetHerHim] to excel in tournaments and personal combat alike; lui succède. Formidable duelliste, nous nous attendons à ce qu'[GetSheHe] excelle dans les tournois et les combats personnels;;;;;;;;;;;;x
heir_text_bastard;Being an illegitimate child, [GetFirstName] will surely set out to make [GetHerHis] mark on destiny;, enfant illégitime, lui succède. [GetSheHeCap] voudra sans doute graver son nom dans l'Histoire;;;;;;;;;;;;x
heir_text_traits_falconer;Graceful in [GetHerHis] handling of birds of prey, [GetFirstName] is sure to skillfully impress both visiting vassals and foreign dignitaries; lui succède. Maniant les oiseaux de proie avec grace, [GetSheHe] saura impressionner les vassaux et les dignitaires étrangers lui rendant visite;;;;;;;;;;;;x
heir_text_traits_possessed;Suspected to be possessed by a demon sent by [Religion.GetRandomEvilGodName], the [Religion.GetPriestTitle]s will do their best to reign [GetHerHim] in; lui succède. Suspecté[GetNoneE] d'être possédé[GetNoneE] par un démon envoyé par [Religion.GetRandomEvilGodName], les [Religion.GetPriestTitle]s l'empêcheront de régner;;;;;;;;;;;;x
heir_text_traits_proud;Ever confident in [GetHerselfHimself], [GetFirstName]'s rule may bring glory or shame to the [GetOnlyDynastyName] dynasty - only time will tell; lui succède. Ayant toujours confiance en [GetHerselfHimself], son règne apportera gloire ou honte à la dynastie [GetOnlyDynastyName], seul le temps nous le dira;;;;;;;;;;;;x
heir_text_traits_gregarious;Well-spoken and outgoing, we expect [GetFirstName] to have no problem charming the court to [GetHerHis] side; lui succède. Éloquent[GetNoneE] et extraverti[GetNoneE], [GetSheHe] n'aura pas de difficulté à charmer la Cour;;;;;;;;;;;;x
heir_text_traits_diligent;Energetic and collected, [GetFirstName] will surely improve the realm under [GetHerHis] rule; lui succède. Énergique et serein[GetNoneE], [GetSheHe] améliorera sans doute le pays durant son règne;;;;;;;;;;;;x
heir_text_traits_deceitful;Devious and deceptive, [GetFirstName]'s feud with truth itself may also be [GetHerHis] undoing; lui succède. Sa fourberie pourrait bien [GetHerHim] mener à sa perte;;;;;;;;;;;;x
heir_text_traits_temperate;A modest and temperate [GetManWoman], [GetFirstName]'s passive nature may also be [GetHerHis] undoing; lui succède. Un[GetNoneE] [GetManWoman] tempéré[GetNoneE] et modeste, dont la nature passive pourrait tout aussi bien [GetHerHim] conduire à sa perte;;;;;;;;;;;;x
heir_text_traits_chaste;Loyal to [GetHerHis] spouse and family, [GetFirstName]'s dynasty, [GetOnlyDynastyName], is likely to view [GetHerHim] with fond eyes; lui succède. Fidèle à s[GetHerHisOpp] [GetHusbandWifeOpp] et à sa famille, la dynastie [GetOnlyDynastyName] [GetHerHim] regarde avec des yeux tendres;;;;;;;;;;;;x
heir_text_traits_content;Content with [GetHerHis] lot, [GetFirstName]'s vassals may ridicule [GetHerHim] for [GetHerHis] passive nature; lui succède. Se contentant de ce qu'[GetSheHe] a, ses vassaux pourraient se moquer de sa nature passive;;;;;;;;;;;;x
heir_text_traits_brave;Courageous and willing to rush to action, we hope that [GetFirstName]'s bravery will not see the realm fall into reckless ruin; lui succède. Brave et prêt[GetNoneE] à l'action, nous espérons qu'[GetSheHe] ne mènera pas le pays à sa ruine;;;;;;;;;;;;x
heir_text_traits_just;Fair and just in all things, we hope that [GetSheHe] will handle any conflicts with grace; lui succède. Juste en toute chose, nous espérons qu'[GetSheHe] gérera les conflits avec grâce;;;;;;;;;;;;x
heir_text_traits_gluttonous;A large [GetManWoman], we hope that [GetSheHe] puts the realm before [GetHerHis] own hunger; lui succède. Un[GetNoneE] [GetManWoman] enrobé[GetNoneE], dont nous espérons qu'[GetSheHe] fera passer le pays avant sa faim;;;;;;;;;;;;x
heir_text_traits_wroth;Prone to rage, [GetFirstName]'s enemies and vassals alike are likely to live in fear of [GetHerHim]; lui succède. Enclin[GetNoneE] à des accès de colère, [GetSheHe] instille la peur chez ses ennemis, tout comme chez ses vassaux;;;;;;;;;;;;x
heir_text_traits_erudite;A bookish and scholarly [GetManWoman], we fear the [Religion.GetPriestTitle]s will thrive while the Burghers suffer;, un[GetNoneE] érudit[GetNoneE], lui succède. Nous craignons que les [Religion.GetPriestTitle]s se portent bien et que les bourgeois ne souffrent de son règne.;;;;;;;;;;;;x
heir_text_traits_stubborn;A bullheaded [GetManWoman], [GetFirstName]'s subjects may have a hard time getting a word in after [GetSheHe] makes up [GetHerHis] mind; lui succède. Un[GetNoneE] [GetManWoman] dont les sujets auront du mal à placer un mot après qu'[GetSheHe] ait pris une décision;;;;;;;;;;;;x
heir_text_three_skills;Having mastered many skills, [GetSheHe] is sure to be admired by [GetHerHis] subjects; lui succède. Maîtrisant plusieurs domaines de compétence, [GetSheHe] sera sans doute admiré[GetNoneE] par ses sujets;;;;;;;;;;;;x
heir_text_traits_varangian;Having served in distant Miklagard, [GetFirstName]'s adventurous spirit is likely to inspire [GetHerHis] subjects; lui succède. Esprit aventureux ayant servi dans la lointaine Miklagård, [GetSheHe] inspirera facilement ses sujets;;;;;;;;;;;;x
heir_text_traits_strong_brave;Towering over [GetHerHis] enemies on the battlefield, [GetFirstName] will have no problem inspiring [GetHerHis] troops; lui succède. Surpassant ses ennemis sur le champ de bataille, [GetSheHe] n'aura pas de mal à inspirer ses hommes;;;;;;;;;;;;x
heir_text_traits_temperate_lustful;Ever willing to entertain [GetHerHis] spouse, we expect the royal family to grow and prosper; lui succède. Toujours disposé[GetNoneE] à divertir s[GetHerHisOpp] [GetHusbandWifeOpp], nous nous attendons à ce que la famille s'agrandisse;;;;;;;;;;;;x
heir_text_traits_craven_honest;Ever willing to admit [GetHerHis] weaknesses of which there are many, it is with great doubt if the realm will confide in their new [PrimaryTitle.GetRulerTitle]; lui succède. Toujours enclin[GetNoneE] à admettre ses défauts qui sont nombreux, c'est avec un grand doute que le pays se fie à [GetHerselfHimself];;;;;;;;;;;;x
heir_text_traits_shy_trusting;A naive [GetManWoman], [GetHerHis] reluctant nature may stop [GetHerHim] from taking charge; lui succède. Sa nature peu enthousiaste et sa naïveté pourrait l'empêcher de prendre les rênes;;;;;;;;;;;;x
heir_text_traits_gregarious_honest;Never afraid to speak [GetHerHis] mind, [GetSheHe] will surely charm the realm with [GetHerHis] astute honesty; lui succède. N'ayant pas peur de dire ce qu'[GetSheHe] pense, [GetSheHe] charmera sûrement ses sujets avec son honnêteté;;;;;;;;;;;;x
heir_text_traits_cynical_arbitrary;Lacking a moral compass, [GetHerHis] subjects will have to learn whether they should fear or respect [GetHerHim]; lui succède. Manquant de boussole morale, ses sujets apprendront s'ils doivent [GetHerHim] craindre ou [GetHerHim] respecter;;;;;;;;;;;;x
heir_text_traits_paranoid_deceitful;A devious and distrustful character, we expect [GetHerHim] to have daggers with each of our names on; lui succède. Retors et méfiant[GetNoneE], nous nous attendons à être des cibles pour [GetHerselfHimself];;;;;;;;;;;;x
SET_PACIFIED_EFFECT;Prevents $CHAR|Y$ from declaring war on others of the same realm until $DATE|Y$.;Empêche $CHAR|Y$ de déclarer la guerre à d'autres des mêmes États jusqu'en $DATE|Y$.;;;;;;;;;;;;x
NOT_PACIFIED_BY_LIEGE;Not pacified by liege (expires $DATE|Y$);N'est pas contraint de garder la paix par son suzerain (expire le $DATE|Y$);;;;;;;;;;;;x
LIEGE_IS_IN_THE_PROCESS_OF_ENFORCING_REALM_PEACE;Liege is in the process of enforcing realm peace;Le suzerain ordonne de garder la paix;;;;;;;;;;;;x
LIEGE_IS_NOT_IN_THE_PROCESS_OF_ENFORCING_REALM_PEACE;Liege is not in the process of enforcing realm peace;Le suzerain n'a pas demandé à ses vassaux de garder la paix;;;;;;;;;;;;x
NOT_ALLOWED_TO_PLAY_WITHOUT_DLC;Not allowed to play this character without the §Y$DLC$§! DLC!;Le DLC §Y$DLC$§! est requis pour jouer ce personnage.;;;;;;;;;;;;x
prosperity_5_year;See the Realm Prosper;Voir ses États prospérer;;;;;;;;;;;;x
desc_prosperity_5_year;The See the Realm Prosper ambition will conclude when this modifier expires.;L'ambition 'Voir ses États prospérer' s'achèvera lorsque ce modificateur expirera.;;;;;;;;;;;;x
RETURNING_FAVOR_TO_ABSTAINER;$WHO1|Y$ is returning a favor to $WHO2|Y$, but is voting their conscience as $WHO2|Y$ is abstaining.;$WHO1|Y$ doit une faveur à $WHO2|Y$, mais vote selon sa conscience puisque $WHO2|Y$ s'abstient.;;;;;;;;;;;;x
EMPTY_VOTER_SEAT_EXPLANATION;Empty seats are considered to be voting no.;Les votes ne pouvant être exercés sont réputés négatifs.;;;;;;;;;;;;x
HAS_ASSIGNED_MINOR_TITLE;$WHO|Y$ has assigned the honorary title $TITLE|Y$;$WHO|Y$ a attribué la dignité de '$TITLE|Y$';;;;;;;;;;;;x
HAS_ASSIGNED_MINOR_TITLE_NOT;$WHO|Y$ has not assigned the honorary title $TITLE|Y$;$WHO|Y$ n'a pas attribué la dignité de '$TITLE|Y$';;;;;;;;;;;;x
HAS_ASSIGNED_MINOR_TITLE_COUNT;$WHO|Y$ has assigned at least $COUNT|Y$ of the honorary title $TITLE|Y$;$WHO|Y$ a attribué au moins $COUNT|Y$ dignité de '$TITLE|Y$';;;;;;;;;;;;x
HAS_ASSIGNED_MINOR_TITLE_COUNT_NOT;$WHO|Y$ has assigned less than $COUNT|Y$ of the honorary title $TITLE|Y$;$WHO|Y$ a attribué moins de $COUNT|Y$ dignité de '$TITLE|Y$';;;;;;;;;;;;x
INFAMY_DECAY_MONTHS;At this rate it will take $MONTHS|Y$ months to decay to §Y0%§!;À ce rythme, cela prendra $MONTHS|Y$ mois pour revenir à §Y0%§!.;;;;;;;;;;;;x
HAS_A_MINOR_TITLE;Holds a minor title;Possède une dignité;;;;;;;;;;;;x
HAS_NO_MINOR_TITLE;Does not hold a minor title;Ne possède pas de dignité;;;;;;;;;;;;x
DEATH_ACCIDENT_ARROW;was tragically killed by a stray arrow;fut mortellement atteint[GetNoneE] par une flèche dans le genou;;;;;;;;;;;;x
EVTDESC20001;The County of §Y[From.Location.GetName]§! has been converted to the §Y[From.Religion.GetName]§! faith.;La contrée de §Y[From.Location.GetName]§! s'est dans l'ensemble convertie à la foi §Y[From.Religion.GetName]§!.;;;;;;;;;;;;x
demand_gavelkind;Demand Gavelkind;Demander l'instauration de la loi salique;;;;;;;;;;;;x
demand_gavelkind_desc;Demand that §Y[This.GetTitledName]§! institute Gavelkind Succession Law. [This.GetSubjectPronounCap] might refuse or ask for something in return...;Demander à ce que §Y[This.GetTitledName]§! règle sa succession selon la loi salique. [This.GetSubjectPronounCap] pourrait refuser ou demander une faveur en échange...;;;;;;;;;;;;x
demand_gavelkind_use_favor;Demand Gavelkind;Demander l'instauration de la loi salique;;;;;;;;;;;;x
demand_gavelkind_use_favor_desc;Demand that §Y[This.GetTitledName]§! institute Gavelkind Succession Law. [This.GetSubjectPronounCap] owes me a favor, and thus cannot refuse.;Demander à ce que §Y[This.GetTitledName]§! Règle sa succession selon la loi salique. Comme [This.GetSubjectPronounCap] me doit une faveur, [This.GetSubjectPronounCap] ne pourra refuser.;;;;;;;;;;;;x
GAME_STARTED_IN;The game was started on $DATE|Y$;La partie a débuté le $DATE|Y$;;;;;;;;;;;;x
GAME_LASTED;The game has been going for $LENGTH|Y$ years;La partie se déroule depuis $LENGTH|Y$ années;;;;;;;;;;;;x
tribal_count_female;Chieftess;Cheftaine;;;;;;;;;;;;x
tribal_baron_female;Chieftess;Cheftaine;;;;;;;;;;;;x
d_norrland;Hälsingland;Norrland;;;;;;;;;;;;x
d_norrland_adj;Hälsinglander;Norrlandaise;;;;;;;;;;;;x
iron_hand_desc;This character possesses a mechanical prosthetic hand made of iron.;Ce personnage a une main mécanique faite de métal.;;;;;;;;;;;;x
golden_hand_desc;This character possesses a gilded prosthetic hand decorated with elaborate engravings.;Ce personnage a une prothèse dorée et décorée de gravures élaborées.;;;;;;;;;;;;x
prosthetic_leg;Prosthetic Leg;Fausse jambe;;;;;;;;;;;;x
opinion_neglected;Neglected;Négligence;;;;;;;;;;;;x
IS_NOT_DE_FACTO_LIEGE_TITLE;Is NOT de facto liege title;Ce n'est pas le titre coutumier du suzerain;;;;;;;;;;;;x
IS_DE_FACTO_LIEGE_TITLE;Is de facto liege title;Est le titre coutumier du suzerain;;;;;;;;;;;;x
MOVE_PREFERRED_CAPITAL;Move preferred capital to $CAPITAL|Y$;Déplacer la Cour à $CAPITAL|Y$;;;;;;;;;;;;x
INCREASE_CAMPAIGN_FUND_DESC;Click to increase campaign funds by 10. SHIFT-click to increase by 50. CTRL-click to increase by 100.;Cliquez pour augmenter le fonds de campagne de 10. Maintenez MAJ pour l'augmenter de 50,  CTRL pour l'augmenter de 100.;;;;;;;;;;;;x
DECREASE_CAMPAIGN_FUND_DESC;Click to decrease campaign funds by 10. SHIFT-click to decrease by 50. CTRL-click to decrease by 100.;Cliquez pour diminuer le fonds de campagne de 10. Maintenez MAJ pour le réduire de 50, CTRL pour le réduire de 100.;;;;;;;;;;;;x
EVTDESC62932;With the end of Carolingian domination of Middle Francia, the realm is once again more commonly referred to its older name of Austrasia.;Avec la fin de la domination carolingienne de la Francie médiane, l'ancienne appellation franque d'Austrasie refait de plus en plus surface.;;;;;;;;;;;;x
EVTDESC534_converted;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has resulted in [New.GetTitledName] converting to [From.Religion.GetName]. [From.Religion.GetRandomGodNameCap] will surely be pleased!;La [From.Religion.GetCrusadeName] pour [Root.GetBaseName] contre [New.GetTitledName] s'est soldée par la conversion de [New.GetTitledName] à la religion [From.Religion.GetName]. [From.Religion.GetRandomGodNameCap] en sera sans doute satisfait.;;;;;;;;;;;;x
EVTDESC534_coup;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has come to an end as [New.GetSheHe] has been overthrown. The [From.Religion.GetGroupName] faithful will be disappointed.;La [From.Religion.GetCrusadeName] pour [Root.GetBaseName] contre [New.GetTitledName] a pris fin avec son renversement. Les fidèles [From.Religion.GetGroupName]s seront déçus.;;;;;;;;;;;;x
vassal_wars_law;Vassal War Declaration;Guerres privées;;;;;;;;;;;;x
vassal_wars_law_desc;Vassal War Declaration;Guerres privées;;;;;;;;;;;;x
vassal_wars_law_0;Uncontrolled Vassal Wars;Latitude complète;;;;;;;;;;;;x
vassal_wars_law_0_option;Allowed;Autorisées;;;;;;;;;;;;x
vassal_wars_law_1;Only External Vassal Wars;Guerre privées seulement contre les étrangers;;;;;;;;;;;;x
vassal_wars_law_2;Disallowed Vassal Wars;Guerres privées interdites;;;;;;;;;;;;x
vassal_wars_law_2_option;Illegal;Illégales;;;;;;;;;;;;x
